File.Date,tractID,COUNTYFP10,Count
1/14/20,13063040609,63,7
1/14/20,13063040414,63,8
1/14/20,13063040412,63,7
1/14/20,13063040514,63,6
1/14/20,13063040512,63,16
1/15/20,13063040512,63,19
1/15/20,13063040606,63,3
1/15/20,13063040520,63,35
1/15/20,13063040515,63,5
1/15/20,13063040608,63,2
1/15/20,13063040616,63,13
1/15/20,13063040620,63,1
1/15/20,13063040612,63,1
1/15/20,13063040524,63,4
1/15/20,13063040204,63,1
1/15/20,13063040516,63,1
1/15/20,13063040303,63,3
1/15/20,13063040611,63,25
1/15/20,13063040412,63,28
1/15/20,13063040519,63,50
1/15/20,13063040306,63,1
1/15/20,13063040413,63,2
1/15/20,13063040203,63,2
1/15/20,13063040514,63,9
1/15/20,13063040621,63,1
1/15/20,13063040609,63,5
1/15/20,13063040202,63,1
1/15/20,13063040410,63,1
1/15/20,13063040510,63,1
1/15/20,13063040518,63,1
1/15/20,13063040525,63,1
1/15/20,13063040613,63,1
1/16/20,13063040303,63,1
1/16/20,13063040510,63,3
1/16/20,13063040621,63,5
1/16/20,13063040411,63,3
1/16/20,13063040525,63,1
1/16/20,13063040523,63,3
1/16/20,13063040606,63,2
1/16/20,13063040306,63,12
1/16/20,13063040204,63,4
1/16/20,13063040524,63,15
1/16/20,13063040302,63,3
1/16/20,13063040520,63,1
1/16/20,13063040407,63,1
1/16/20,13063040202,63,8
1/16/20,13063040203,63,1
1/16/20,13063040408,63,4
1/16/20,13063040522,63,1
1/16/20,13063040617,63,1
1/16/20,13063040515,63,1
1/16/20,13063040611,63,5
1/16/20,13063040414,63,1
1/16/20,13063040513,63,1
1/16/20,13063040308,63,1
1/16/20,13063040519,63,12
1/16/20,13063040412,63,22
1/16/20,13063040608,63,1
1/16/20,13063040526,63,1
1/17/20,13063040413,63,1
1/17/20,13063040303,63,4
1/17/20,13063040512,63,2
1/17/20,13063040621,63,3
1/17/20,13063040613,63,2
1/17/20,13063040202,63,1
1/17/20,13063040510,63,1
1/17/20,13063040516,63,1
1/17/20,13063040409,63,1
1/17/20,13063040411,63,2
1/17/20,13063040622,63,2
1/17/20,13063040520,63,2
1/17/20,13063040522,63,2
1/17/20,13063040306,63,1
1/17/20,13063040412,63,2
1/17/20,13063040410,63,1
1/17/20,13063040416,63,1
1/17/20,13063040302,63,3
1/17/20,13063040519,63,7
1/17/20,13063040308,63,2
1/17/20,13063040203,63,1
1/17/20,13063040526,63,1
1/17/20,13063040307,63,1
1/17/20,13063040415,63,1
1/17/20,13063040608,63,1
1/17/20,13063040524,63,1
1/21/20,13063040410,63,2
1/21/20,13063040303,63,3
1/21/20,13063040412,63,2
1/21/20,13063040302,63,3
1/21/20,13063040512,63,2
1/21/20,13063040203,63,18
1/21/20,13063040413,63,1
1/21/20,13063040516,63,2
1/21/20,13063040514,63,2
1/21/20,13063040416,63,1
1/21/20,13063040411,63,3
1/21/20,13063040611,63,15
1/21/20,13063040408,63,3
1/21/20,13063040407,63,1
1/21/20,13063040522,63,2
1/21/20,13063040621,63,3
1/21/20,13063040526,63,1
1/21/20,13063040515,63,4
1/21/20,13063040306,63,76
1/21/20,13063040524,63,1
1/21/20,13063040622,63,2
1/21/20,13063040415,63,15
1/21/20,13063040520,63,14
1/21/20,13063040616,63,1
1/21/20,13063040513,63,1
1/21/20,13063040614,63,1
1/21/20,13063040308,63,3
1/21/20,13063040417,63,5
1/21/20,13063040612,63,1
1/21/20,13063040519,63,1
1/22/20,13063040620,63,1
1/22/20,13063040306,63,4
1/22/20,13063040415,63,3
1/22/20,13063040516,63,1
1/22/20,13063040512,63,2
1/22/20,13063040518,63,2
1/22/20,13063040520,63,2
1/22/20,13063040524,63,6
1/22/20,13063040204,63,8
1/22/20,13063040609,63,22
1/22/20,13063040510,63,6
1/22/20,13063040302,63,18
1/22/20,13063040519,63,16
1/22/20,13063040303,63,4
1/22/20,13063040202,63,4
1/22/20,13063040606,63,2
1/22/20,13063040613,63,1
1/22/20,13063040612,63,1
1/22/20,13063040616,63,3
1/22/20,13063040515,63,1
1/22/20,13063040523,63,1
1/22/20,13063040410,63,1
1/22/20,13063040526,63,2
1/22/20,13063040525,63,1
1/22/20,13063040408,63,1
1/22/20,13063040414,63,1
1/22/20,13063040611,63,2
1/22/20,13063040412,63,1
1/22/20,13063040417,63,15
1/22/20,13063040407,63,1
1/22/20,13063040409,63,1
1/22/20,13063040514,63,6
1/23/20,13063040622,63,1
1/23/20,13063040526,63,1
1/23/20,13063040521,63,1
1/23/20,13063040509,63,1
1/23/20,13063040516,63,2
1/23/20,13063040612,63,1
1/23/20,13063040520,63,2
1/23/20,13063040522,63,1
1/23/20,13063040519,63,14
1/23/20,13063040611,63,2
1/23/20,13063040608,63,1
1/23/20,13063040613,63,1
1/23/20,13063040606,63,1
1/23/20,13063040417,63,1
1/23/20,13063040411,63,2
1/23/20,13063040413,63,1
1/23/20,13063040204,63,12
1/23/20,13063040409,63,1
1/23/20,13063040414,63,1
1/24/20,13063040525,63,1
1/24/20,13063040611,63,2
1/24/20,13063040622,63,7
1/24/20,13063040411,63,4
1/24/20,13063040513,63,1
1/24/20,13063040302,63,3
1/24/20,13063040410,63,3
1/24/20,13063040621,63,2
1/24/20,13063040520,63,1
1/24/20,13063040606,63,2
1/24/20,13063040620,63,2
1/24/20,13063040524,63,2
1/24/20,13063040519,63,2
1/24/20,13063040407,63,3
1/24/20,13063040204,63,1
1/24/20,13063040415,63,3
1/24/20,13063040609,63,1
1/24/20,13063040408,63,8
1/24/20,13063040303,63,6
1/24/20,13063040608,63,1
1/24/20,13063040409,63,1
1/24/20,13063040616,63,2
1/24/20,13063040509,63,1
1/24/20,13063040518,63,2
1/27/20,13063040520,63,1
1/27/20,13063040621,63,2
1/27/20,13063040612,63,1
1/27/20,13063040608,63,3
1/27/20,13063040611,63,1
1/27/20,13063040408,63,2
1/27/20,13063040410,63,1
1/27/20,13063040512,63,1
1/27/20,13063040409,63,3
1/27/20,13063040526,63,1
1/27/20,13063040415,63,4
1/27/20,13063040413,63,2
1/27/20,13063040622,63,2
1/27/20,13063040518,63,5
1/27/20,13063040522,63,4
1/27/20,13063040515,63,1
1/27/20,13063040616,63,2
1/27/20,13063040519,63,8
1/27/20,13063040606,63,1
1/27/20,13063040523,63,1
1/27/20,13063040411,63,2
1/27/20,13063040613,63,1
1/27/20,13063040525,63,1
1/27/20,13063040412,63,1
1/28/20,13063040410,63,4
1/28/20,13063040611,63,1
1/28/20,13063040514,63,1
1/28/20,13063040518,63,3
1/28/20,13063040616,63,1
1/28/20,13063040203,63,5
1/28/20,13063040522,63,4
1/28/20,13063040526,63,1
1/28/20,13063040411,63,1
1/28/20,13063040413,63,1
1/29/20,13063040621,63,3
1/29/20,13063040524,63,4
1/29/20,13063040613,63,1
1/29/20,13063040306,63,1
1/29/20,13063040516,63,6
1/29/20,13063040608,63,3
1/29/20,13063040512,63,1
1/29/20,13063040413,63,1
1/29/20,13063040409,63,2
1/29/20,13063040202,63,2
1/29/20,13063040513,63,2
1/29/20,13063040515,63,2
1/29/20,13063040518,63,3
1/29/20,13063040622,63,2
1/29/20,13063040303,63,2
1/29/20,13063040510,63,2
1/29/20,13063040525,63,1
1/29/20,13063040611,63,1
1/29/20,13063040612,63,1
1/29/20,13063040526,63,1
1/29/20,13063040521,63,1
1/29/20,13063040620,63,1
1/29/20,13063040615,63,1
1/29/20,13063040509,63,1
1/30/20,13063040514,63,3
1/30/20,13063040616,63,3
1/30/20,13063040509,63,1
1/30/20,13063040608,63,1
1/30/20,13063040524,63,1
1/30/20,13063040407,63,1
1/30/20,13063040202,63,2
1/30/20,13063040204,63,2
1/30/20,13063040612,63,1
1/30/20,13063040519,63,2
1/30/20,13063040303,63,1
1/30/20,13063040410,63,4
1/31/20,13063040512,63,1
1/31/20,13063040509,63,1
1/31/20,13063040307,63,1
1/31/20,13063040303,63,1
1/31/20,13063040616,63,2
1/31/20,13063040606,63,1
1/31/20,13063040409,63,3
1/31/20,13063040411,63,1
1/31/20,13063040524,63,1
1/31/20,13063040522,63,1
1/31/20,13063040413,63,1
1/31/20,13063040515,63,1
1/31/20,13063040613,63,1
2/1/20,13063040417,63,1
2/1/20,13063040525,63,1
2/1/20,13063040303,63,1
2/1/20,13063040514,63,2
2/3/20,13063040412,63,1
2/3/20,13063040522,63,1
2/3/20,13063040515,63,1
2/3/20,13063040526,63,3
2/3/20,13063040204,63,1
2/3/20,13063040411,63,2
2/3/20,13063040410,63,1
2/3/20,13063040202,63,2
2/3/20,13063040524,63,3
2/3/20,13063040415,63,1
2/3/20,13063040203,63,1
2/3/20,13063040620,63,1
2/4/20,13063040204,63,1
2/4/20,13063040516,63,1
2/4/20,13063040612,63,2
2/4/20,13063040525,63,1
2/4/20,13063040526,63,2
2/4/20,13063040621,63,1
2/4/20,13063040308,63,1
2/4/20,13063040524,63,1
2/4/20,13063040410,63,1
2/4/20,13063040203,63,1
2/4/20,13063040417,63,1
2/4/20,13063040408,63,1
2/4/20,13063040412,63,1
2/4/20,13063040519,63,1
2/5/20,13063040608,63,2
2/5/20,13063040606,63,1
2/5/20,13063040514,63,3
2/5/20,13063040614,63,1
2/5/20,13063040524,63,2
2/5/20,13063040611,63,3
2/5/20,13063040612,63,1
2/5/20,13063040512,63,2
2/5/20,13063040518,63,2
2/5/20,13063040516,63,1
2/5/20,13063040515,63,1
2/5/20,13063040408,63,8
2/5/20,13063040303,63,3
2/5/20,13063040415,63,1
2/5/20,13063040417,63,1
2/5/20,13063040407,63,1
2/6/20,13063040614,63,1
2/6/20,13063040525,63,1
2/6/20,13063040413,63,3
2/6/20,13063040522,63,3
2/6/20,13063040412,63,1
2/6/20,13063040407,63,2
2/6/20,13063040608,63,2
2/6/20,13063040611,63,1
2/6/20,13063040516,63,2
2/6/20,13063040613,63,1
2/6/20,13063040515,63,1
2/6/20,13063040612,63,3
2/6/20,13063040415,63,1
2/6/20,13063040524,63,2
2/6/20,13063040606,63,1
2/6/20,13063040308,63,1
2/6/20,13063040518,63,1
2/6/20,13063040510,63,1
2/7/20,13063040621,63,1
2/7/20,13063040302,63,3
2/7/20,13063040518,63,1
2/7/20,13063040606,63,1
2/7/20,13063040514,63,1
2/7/20,13063040519,63,1
2/7/20,13063040516,63,3
2/7/20,13063040303,63,7
2/7/20,13063040509,63,2
2/7/20,13063040408,63,12
2/7/20,13063040526,63,2
2/7/20,13063040512,63,1
2/7/20,13063040415,63,1
2/7/20,13063040413,63,1
2/7/20,13063040611,63,1
2/7/20,13063040515,63,1
2/7/20,13063040524,63,1
2/7/20,13063040204,63,1
2/10/20,13063040518,63,5
2/10/20,13063040619,63,1
2/10/20,13063040509,63,2
2/10/20,13063040303,63,1
2/10/20,13063040515,63,3
2/10/20,13063040616,63,1
2/10/20,13063040521,63,1
2/10/20,13063040302,63,2
2/10/20,13063040606,63,1
2/10/20,13063040615,63,1
2/10/20,13063040417,63,1
2/10/20,13063040524,63,2
2/10/20,13063040620,63,1
2/10/20,13063040526,63,2
2/10/20,13063040514,63,9
2/10/20,13063040516,63,32
2/10/20,13063040611,63,39
2/10/20,13063040415,63,18
2/10/20,13063040204,63,19
2/10/20,13063040522,63,10
2/10/20,13063040203,63,2
2/10/20,13063040612,63,1
2/10/20,13063040407,63,2
2/11/20,13063040612,63,3
2/11/20,13063040613,63,1
2/11/20,13063040417,63,6
2/11/20,13063040515,63,1
2/11/20,13063040411,63,1
2/11/20,13063040513,63,2
2/11/20,13063040617,63,16
2/11/20,13063040622,63,7
2/11/20,13063040203,63,2
2/11/20,13063040621,63,1
2/11/20,13063040516,63,4
2/11/20,13063040611,63,39
2/11/20,13063040521,63,3
2/11/20,13063040416,63,8
2/11/20,13063040606,63,1
2/11/20,13063040614,63,1
2/11/20,13063040415,63,10
2/11/20,13063040608,63,17
2/11/20,13063040302,63,8
2/11/20,13063040412,63,6
2/11/20,13063040514,63,12
2/11/20,13063040520,63,44
2/11/20,13063040510,63,5
2/11/20,13063040509,63,1
2/11/20,13063040306,63,1
2/11/20,13063040407,63,1
2/11/20,13063040409,63,1
2/11/20,13063040525,63,1
2/11/20,13063040204,63,1
2/11/20,13063040609,63,1
2/11/20,13063040616,63,3
2/12/20,13063040613,63,1
2/12/20,13063040413,63,4
2/12/20,13063040619,63,1
2/12/20,13063040612,63,1
2/12/20,13063040608,63,19
2/12/20,13063040411,63,2
2/12/20,13063040520,63,17
2/12/20,13063040204,63,7
2/12/20,13063040622,63,27
2/12/20,13063040509,63,2
2/12/20,13063040616,63,20
2/12/20,13063040518,63,2
2/12/20,13063040307,63,1
2/12/20,13063040523,63,7
2/12/20,13063040621,63,2
2/12/20,13063040524,63,4
2/12/20,13063040308,63,11
2/12/20,13063040408,63,14
2/12/20,13063040606,63,1
2/12/20,13063040303,63,1
2/12/20,13063040525,63,1
2/12/20,13063040516,63,3
2/12/20,13063040515,63,1
2/12/20,13063040415,63,2
2/12/20,13063040611,63,6
2/12/20,13063040203,63,21
2/12/20,13063040306,63,1
2/12/20,13063040410,63,1
2/12/20,13063040510,63,8
2/12/20,13063040412,63,16
2/12/20,13063040609,63,3
2/12/20,13063040522,63,1
2/13/20,13063040622,63,1
2/13/20,13063040412,63,1
2/13/20,13063040410,63,2
2/13/20,13063040516,63,1
2/13/20,13063040203,63,2
2/13/20,13063040620,63,1
2/13/20,13063040306,63,19
2/13/20,13063040611,63,4
2/13/20,13063040521,63,1
2/13/20,13063040303,63,1
2/13/20,13063040514,63,1
2/13/20,13063040522,63,13
2/13/20,13063040417,63,3
2/13/20,13063040302,63,1
2/13/20,13063040621,63,1
2/13/20,13063040616,63,1
2/13/20,13063040411,63,1
2/14/20,13063040302,63,4
2/14/20,13063040413,63,1
2/14/20,13063040520,63,8
2/14/20,13063040612,63,1
2/14/20,13063040613,63,1
2/14/20,13063040526,63,1
2/14/20,13063040516,63,2
2/14/20,13063040606,63,3
2/14/20,13063040621,63,7
2/14/20,13063040608,63,4
2/14/20,13063040616,63,1
2/14/20,13063040622,63,1
2/14/20,13063040203,63,1
2/14/20,13063040417,63,3
2/14/20,13063040609,63,1
2/14/20,13063040515,63,1
2/14/20,13063040202,63,19
2/14/20,13063040510,63,6
2/14/20,13063040303,63,1
2/14/20,13063040519,63,2
2/14/20,13063040514,63,1
2/17/20,13063040516,63,1
2/17/20,13063040308,63,20
2/17/20,13063040411,63,4
2/17/20,13063040524,63,20
2/17/20,13063040514,63,14
2/17/20,13063040619,63,2
2/17/20,13063040608,63,3
2/17/20,13063040414,63,5
2/17/20,13063040409,63,25
2/10/20,13063040409,63,1
2/17/20,13063040415,63,11
2/17/20,13063040526,63,5
2/17/20,13063040519,63,20
2/17/20,13063040412,63,13
2/17/20,13063040616,63,7
2/17/20,13063040512,63,2
2/17/20,13063040515,63,23
2/17/20,13063040609,63,3
2/17/20,13063040510,63,9
2/17/20,13063040408,63,3
2/17/20,13063040410,63,1
2/17/20,13063040621,63,1
2/17/20,13063040518,63,2
2/17/20,13063040302,63,1
2/17/20,13063040407,63,1
2/17/20,13063040306,63,2
2/17/20,13063040612,63,7
2/17/20,13063040417,63,1
2/17/20,13063040522,63,1
2/17/20,13063040520,63,17
2/17/20,13063040204,63,2
2/17/20,13063040202,63,2
2/18/20,13063040616,63,32
2/18/20,13063040513,63,1
2/18/20,13063040409,63,1
2/18/20,13063040412,63,5
2/18/20,13063040203,63,2
2/18/20,13063040621,63,8
2/18/20,13063040306,63,43
2/18/20,13063040414,63,1
2/18/20,13063040415,63,20
2/18/20,13063040408,63,12
2/18/20,13063040611,63,12
2/18/20,13063040515,63,11
2/18/20,13063040524,63,7
2/18/20,13063040518,63,2
2/18/20,13063040411,63,3
2/18/20,13063040516,63,1
2/18/20,13063040526,63,1
2/18/20,13063040608,63,1
2/18/20,13063040606,63,1
2/18/20,13063040614,63,1
2/18/20,13063040302,63,1
